"Date","Price","Open","High","Low","Change %"
"11/01/2024","1.059","0.954","1.091","0.914","13.26%"
"10/01/2024","0.935","0.856","0.992","0.815","8.22%"
"09/01/2024","0.864","0.914","0.935","0.797","-3.03%"
"08/01/2024","0.891","1.040","1.058","0.733","-16.02%"
"07/01/2024","1.061","1.073","1.106","1.000","1.43%"
"06/01/2024","1.046","1.067","1.089","0.898","-2.70%"
"05/01/2024","1.075","0.886","1.103","0.855","23.28%"
"04/01/2024","0.872","0.734","0.935","0.724","20.11%"
"03/01/2024","0.726","0.714","0.801","0.700","1.54%"
"02/01/2024","0.715","0.740","0.775","0.660","-2.85%"
"01/01/2024","0.736","0.632","0.756","0.551","19.48%"
"12/01/2023","0.616","0.691","0.806","0.553","-8.88%"
"11/01/2023","0.676","0.952","0.975","0.632","-28.92%"
"10/01/2023","0.951","0.771","0.962","0.749","23.35%"
"09/01/2023","0.771","0.648","0.776","0.626","18.43%"
"08/01/2023","0.651","0.603","0.681","0.566","7.78%"
"07/01/2023","0.604","0.397","0.612","0.375","52.53%"
"06/01/2023","0.396","0.433","0.445","0.351","-8.12%"
"05/01/2023","0.431","0.380","0.460","0.356","8.29%"
"04/01/2023","0.398","0.354","0.492","0.341","22.84%"
"03/01/2023","0.324","0.501","0.508","0.174","-35.33%"
"02/01/2023","0.501","0.488","0.507","0.467","2.24%"
"01/01/2023","0.490","0.427","0.553","0.358","17.22%"
"12/01/2022","0.418","0.250","0.485","0.250","66.53%"
"11/01/2022","0.251","0.246","0.254","0.235","4.58%"
"10/01/2022","0.240","0.248","0.261","0.228","-2.04%"
"09/01/2022","0.245","0.233","0.257","0.225","8.89%"
"08/01/2022","0.225","0.187","0.244","0.164","28.57%"
"07/01/2022","0.175","0.225","0.250","0.174","-22.22%"
"06/01/2022","0.225","0.240","0.267","0.217","-6.64%"
"05/01/2022","0.241","0.228","0.251","0.206","11.06%"
"04/01/2022","0.217","0.202","0.251","0.181","1.40%"
"03/01/2022","0.214","0.147","0.250","0.134","16.30%"
"02/01/2022","0.184","0.179","0.226","0.165","5.75%"
"01/01/2022","0.174","0.083","0.187","0.079","148.57%"
"12/01/2021","0.070","0.059","0.074","0.039","18.64%"
"11/01/2021","0.059","0.097","0.110","0.050","-37.23%"
"10/01/2021","0.094","0.055","0.109","0.040","44.62%"
"09/01/2021","0.065","0.027","0.078","0.024","170.83%"
"08/01/2021","0.024","0.020","0.035","0.003","26.32%"
"07/01/2021","0.019","0.052","0.053","0.009","-64.81%"
"06/01/2021","0.054","0.077","0.086","0.024","-31.65%"
"05/01/2021","0.079","0.087","0.089","0.069","-11.24%"
"04/01/2021","0.089","0.118","0.124","0.059","-6.32%"
"03/01/2021","0.095","0.148","0.156","0.064","-42.42%"
"02/01/2021","0.165","0.060","0.181","0.050","223.53%"
"01/01/2021","0.051","0.020","0.056","0.010","142.86%"
"12/01/2020","0.021","0.032","0.034","0.001","-32.26%"
"11/01/2020","0.031","0.040","0.057","0.010","-24.39%"
"10/01/2020","0.041","0.018","0.041","0.010","156.25%"
"09/01/2020","0.016","0.049","0.051","0.005","-65.96%"
"08/01/2020","0.047","0.019","0.058","0.004","193.75%"
"07/01/2020","0.016","0.038","0.061","0.005","-40.74%"
"06/01/2020","0.027","0.006","0.055","-0.003","285.71%"
"05/01/2020","0.007","-0.030","0.012","-0.036","-118.42%"
"04/01/2020","-0.038","0.005","0.031","-0.051","-323.53%"
"03/01/2020","0.017","-0.166","0.106","-0.197","-111.11%"
"02/01/2020","-0.153","-0.075","-0.004","-0.154","142.86%"
"01/01/2020","-0.063","-0.034","0.016","-0.067","186.36%"
"12/01/2019","-0.022","-0.070","0.014","-0.070","-72.15%"
"11/01/2019","-0.079","-0.162","-0.031","-0.187","-43.17%"
"10/01/2019","-0.139","-0.205","-0.107","-0.224","-37.67%"
"09/01/2019","-0.223","-0.272","-0.142","-0.290","-18.91%"
"08/01/2019","-0.275","-0.155","-0.130","-0.289","77.42%"
"07/01/2019","-0.155","-0.154","-0.113","-0.168","-2.52%"
"06/01/2019","-0.159","-0.098","-0.089","-0.191","62.24%"
"05/01/2019","-0.098","-0.055","-0.041","-0.099","122.73%"
"04/01/2019","-0.044","-0.083","-0.009","-0.083","-52.17%"
"03/01/2019","-0.092","-0.007","0.010","-0.094","300.00%"
"02/01/2019","-0.023","-0.005","0.000","-0.048","0.00%"
"01/01/2019","0.000","-0.015","0.036","-0.048","-100.00%"
"12/01/2018","0.002","0.086","0.091","-0.001","-97.67%"
"11/01/2018","0.086","0.133","0.140","0.075","-31.75%"
"10/01/2018","0.126","0.128","0.161","0.104","0.00%"
"09/01/2018","0.126","0.109","0.136","0.103","22.33%"
"08/01/2018","0.103","0.066","0.145","0.063","83.93%"
"07/01/2018","0.056","0.033","0.116","0.025","80.65%"
"06/01/2018","0.031","0.034","0.057","0.028","-16.22%"
"05/01/2018","0.037","0.047","0.065","0.023","-33.93%"
"04/01/2018","0.056","0.045","0.072","0.024","21.74%"
"03/01/2018","0.046","0.049","0.081","0.020","-2.13%"
"02/01/2018","0.047","0.084","0.102","0.044","-44.05%"
"01/01/2018","0.084","0.048","0.099","0.048","68.00%"
"12/01/2017","0.050","0.039","0.070","0.030","38.89%"
"11/01/2017","0.036","0.066","0.069","0.019","-44.62%"
"10/01/2017","0.065","0.065","0.086","0.046","1.56%"
"09/01/2017","0.064","0.007","0.076","-0.008","966.67%"
"08/01/2017","0.006","0.077","0.081","0.004","-92.11%"
"07/01/2017","0.076","0.086","0.109","0.064","-9.52%"
"06/01/2017","0.084","0.045","0.090","0.039","86.67%"
"05/01/2017","0.045","0.013","0.055","0.011","181.25%"
"04/01/2017","0.016","0.067","0.076","0.001","-77.46%"
"03/01/2017","0.071","0.058","0.099","0.053","33.96%"
"02/01/2017","0.053","0.086","0.155","0.050","-39.77%"
"01/01/2017","0.088","0.046","0.092","0.041","79.59%"
"12/01/2016","0.049","0.035","0.093","0.023","145.00%"
"11/01/2016","0.020","-0.048","0.051","-0.083","-140.82%"
"10/01/2016","-0.049","-0.076","-0.040","-0.076","-37.18%"
"09/01/2016","-0.078","-0.063","0.011","-0.089","14.71%"
"08/01/2016","-0.068","-0.183","-0.009","-0.185","-59.28%"
"07/01/2016","-0.167","-0.217","-0.159","-0.291","-25.78%"
"06/01/2016","-0.225","-0.102","-0.093","-0.231","97.37%"
"05/01/2016","-0.114","-0.095","-0.067","-0.121","50.00%"
"04/01/2016","-0.076","-0.061","-0.025","-0.133","80.95%"
"03/01/2016","-0.042","-0.051","0.025","-0.131","-27.59%"
"02/01/2016","-0.058","0.092","0.100","-0.071","-150.88%"
"01/01/2016","0.114","0.270","0.280","0.110","-58.09%"
"12/01/2015","0.272","0.305","0.339","0.270","-10.82%"
"11/01/2015","0.305","0.308","0.347","0.298","0.33%"
"10/01/2015","0.304","0.346","0.347","0.298","-13.14%"
"09/01/2015","0.350","0.400","0.410","0.326","-8.14%"
"08/01/2015","0.381","0.400","0.430","0.350","-7.52%"
"07/01/2015","0.412","0.464","0.536","0.400","-10.04%"
"06/01/2015","0.458","0.395","0.552","0.395","15.66%"
"05/01/2015","0.396","0.343","0.477","0.342","19.64%"
"04/01/2015","0.331","0.404","0.414","0.286","-17.25%"
"03/01/2015","0.400","0.337","0.479","0.302","17.65%"
"02/01/2015","0.340","0.275","0.459","0.270","18.88%"
"01/01/2015","0.286","0.329","0.330","0.199","-13.33%"
"12/01/2014","0.330","0.420","0.465","0.271","-21.43%"
"11/01/2014","0.420","0.445","0.540","0.417","-8.10%"
"10/01/2014","0.457","0.531","0.535","0.441","-14.26%"
"09/01/2014","0.533","0.501","0.587","0.494","7.24%"
"08/01/2014","0.497","0.533","0.539","0.488","-6.93%"
"07/01/2014","0.534","0.566","0.574","0.514","-5.82%"
"06/01/2014","0.567","0.587","0.622","0.560","-2.07%"
"05/01/2014","0.579","0.620","0.626","0.562","-6.61%"
"04/01/2014","0.620","0.644","0.654","0.600","-3.58%"
"03/01/2014","0.643","0.578","0.658","0.578","9.73%"
"02/01/2014","0.586","0.621","0.632","0.584","-6.39%"
"01/01/2014","0.626","0.741","0.745","0.613","-15.06%"
"12/01/2013","0.737","0.600","0.750","0.600","20.42%"
"11/01/2013","0.612","0.604","0.653","0.586","3.03%"
"10/01/2013","0.594","0.692","0.697","0.589","-13.66%"
"09/01/2013","0.688","0.730","0.802","0.664","-4.44%"
"08/01/2013","0.720","0.809","0.830","0.708","-9.77%"
"07/01/2013","0.798","0.857","0.905","0.772","-5.45%"
"06/01/2013","0.844","0.866","0.915","0.796","-2.65%"
"05/01/2013","0.867","0.607","1.002","0.561","41.90%"
"04/01/2013","0.611","0.567","0.655","0.320","9.89%"
"03/01/2013","0.556","0.664","0.697","0.511","-16.39%"
"02/01/2013","0.665","0.753","0.809","0.663","-11.80%"
"01/01/2013","0.754","0.797","0.848","0.726","-5.99%"
"12/01/2012","0.802","0.707","0.809","0.690","12.64%"